Name,Name2,Team,Season,Minutes,Primary Position,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV,Image key
Adriana Lizbeth Meza Acosta,Adriana Lizbeth Meza Acosta,Toluca W,2023/2024,15,Portera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.34,100,6.17,0,100,0,6.17,0,0,0,12.82,0,0,0,6.17,100,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,30.29,0,1,0,0,30.29,0,0,0,0,0,0,0,0.09,0,0,6.17,0.95,0,0,0,-3,0,0,0,0,0.01,0,0,0,0,0.01,
Aida Cantú,Aida Cantú,Santos Laguna W,2023/2024,197,Portera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,2.24,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,51,4.56,0,36,0.91,11.86,5,50,-1,9.08,0,0.04,0.04,8.66,100,6.66,0,0,0,0,0,0,0,0,0,0,0,0,42,58,0,0,0,0,38.79,43.17,0.8,108,4.38,30.96,46.75,2.28,1.68,-0.6,64,74,-9,1.18,6.38,50,12.77,1.38,0,0,13.3,-2,28,2,0.46,3,0.06,0.06,0,0,-0.69,-0.57,
Alejandra Gutiérrez,Alejandra Gutiérrez,Tijuana W,2023/2024,2641,Portera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0,0.1,0,0,0.07,0,0,0,0,0.14,0.07,0,7.77,3.13,0,4.98,0,0,0,0,0,0.03,67,0.03,0,0,0.03,0.1,0.06,0.03,0,0,12.11,0,0,0,0,0.07,0,0,13.63,63,4.23,13,41,0.89,9.54,7,28,-36,10.62,0.31,0.08,0.08,8.38,99,6.25,0.2,0.03,0.03,0,0,0,0.03,0,0,0,0,0,51,49,0,83,17,0,37.63,39.08,0.78,89,1.45,29.4,34.92,1.4,1.09,-0.31,69,76,-7,1.15,4.53,39,11.69,1.86,0.07,0.07,15.54,1,18,3,0.89,5,0.06,0.05,-0.02,0,-0.43,-0.34,
Alejandría Godínez,Alejandría Godínez,Monterrey W,2023/2024,995,Portera,0,0,0,0,0,0,0,0,0,0,0,0.01,0.09,0,0.01,0.09,0,0,0,0,0.01,0.09,-0.01,0.27,0.18,0.09,67,0.18,0,0,0.09,0,0,0,0,0.45,0.27,0,5.79,4.19,0,3.62,0,0,0,0,0,0.18,0,0.09,0,0,0.09,0.27,0.42,0,0.09,0,21.21,0,0,0,0,0.27,0,0,24.06,85,5.34,19,58,1.54,7.69,10,52,-34,13.45,0.09,0.25,0.25,19.09,100,3.74,0,0,0,0,0,0,0,0,0,0,0,0,25,75,0,0,0,0,28.18,35.75,0.88,81,7.57,24.76,28.83,0.81,0.76,-0.05,73,74,-2,0.71,2.99,38,7.96,2.26,0,0,22.06,4,6,2,1.28,6,0.03,0.05,-0.01,0,-0.08,-0.01,
Alexa Gurrola,Alexa Gurrola,Juárez W,2023/2024,449,Portera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,6.81,2.82,0,2.81,0,0,0,0,0,0,0,0.2,0,0,0.4,0.2,0.11,0,0,0,9.74,0,0,0,0,0,0,0,14.43,76,4.21,75,51,0.4,7.82,4,75,-1,9.88,0.2,0.1,0.1,10.42,100,6.33,0.2,0,0,0,0,0,0,0,0,0,0,0,36,63,1,100,0,0,30.58,20.84,0.82,112,-9.74,24.95,23.32,0.8,0.6,-0.2,81,86,-5,0.64,4.21,36,11.82,1.77,0.2,0.2,14.08,6,11,2,0.86,5,0.02,0.03,0,0,-0.29,-0.24,
Alondra García,Alondra García,Mazatlán W,2023/2024,610,Portera,0,0,0,0,0,0,0,0,0,0,0,0.01,0.15,0,0.01,0.15,0,0,0,0,0.01,0.15,-0.01,0,0,0,0,0.29,0,0,0,0,0,0,0,0.44,0.15,0,14.75,2.65,0,7.08,0,0,0,0,0,0,0,0,0,0,0.15,0.44,0.15,0,0.15,0,4.89,0,0,0,0,0,0,0,14.01,49,6.78,3,36,0,18.88,0,0,0,10.65,0,0.03,0.03,10.47,100,10.93,0,0,0,0,0,0,0,0,0,0,0,0,68,32,0,0,0,0,44.53,0,0.84,0,0,37.52,0,2.8,2.06,-0.74,57,68,-11,2.07,6.49,34,19.03,1.55,0.29,0.15,13.03,6,17,4,0.91,9,0.05,0.14,0,0,-0.67,-0.48,
Areli Reyes,Areli Reyes,Tijuana W,2023/2024,101,Portera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42,1.91,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,52,3.55,0,29,0.89,11.53,7,50,-2,10.44,0,0,0,12.42,100,6.79,0,0,0,0,0,0,0,0,0,0,0,0,52,48,0,0,0,0,37.07,27.55,0.82,58,-9.52,30.32,16.01,0.89,0.64,-0.25,80,86,-6,0.83,4.43,28,15.97,1.27,0,0,20.56,7,30,4,2.66,15,-0.06,0.06,0,0,-0.3,-0.31,
Arlett Casas,Arlett Casas,Santos Laguna W,2023/2024,255,Portera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,13.06,3.05,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.12,47,4.94,32,33,0.71,14.48,9,40,-7,10.2,0,0.06,0.06,9.89,100,8.2,0,0,0,0,0,0,0,0,0,0,0,0,67,33,0,0,0,0,42.28,26.13,0.82,95,-16.14,34.65,24.88,2.82,1.92,-0.9,58,71,-13,2.05,6.71,42,15.89,2.31,0,0,15.02,3,24,7,0.99,12,0.03,0.05,0,0,-1.02,-0.95,
Aurora Cecilia Santiago Cisneros,Aurora Cecilia Santiago Cisneros,Tigres UANL W,2023/2024,3464,Portera,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.08,0,0,0.08,0,0,0,0,0,0.1,0,0.03,0,0,0,0,0,0.13,0.05,0,7.04,3.02,0.03,4.13,0,0,0,0,0,0,25,0.08,0,0,0.05,0.13,0.2,0.1,0,0,9.02,0,0,0,0,0.03,0,0,21.33,77,5.07,20,47,1.25,9.59,11,67,-10,12.25,0.36,0.24,0.24,16.6,100,4.91,0.18,0.03,0,0.03,0,0,0,0,0,0,0,0,36,64,0,71,29,0,31.25,30.93,0.82,81,-0.32,25.7,25.07,0.44,0.54,0.1,85,82,3,0.71,3.01,31,9.74,1.51,0.08,0.08,20.13,5,9,3,1.27,7,0.06,0.05,0,0,0.03,0.14,
Blanca María Félix Castro,Blanca María Félix Castro,Guadalajara W,2023/2024,3488,Portera,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0.03,0,0,0,0,0,0.13,0,0,0.03,0,0,0.03,0.03,0.15,0.08,0,8,2.97,0,5.57,0,0,0,0,0,0,60,0.05,0,0,0,0.15,0.19,0.05,0,0,12.9,0,0,0,0,0.03,0,0,20.74,82,4.88,21,52,0.72,8.62,8,76,-6,11.64,0.18,0.17,0.17,15.02,100,4.33,0.15,0,0,0,0,0,0,0,0,0,0,0,28,72,0,100,0,0,29.09,28.4,0.86,87,-0.7,24.91,24.78,0.85,0.9,0.05,82,81,1,0.89,4.7,41,11.35,1.8,0.08,0.05,17.26,2,7,3,1.24,7,0.05,0.07,0,0,-0.04,0.08,
